timestamp;gameobject_name;pos_x;pos_y;pos_z;euler_x;euler_y;euler_z
1573049215074;Player;-0.81;0.992152;-2.22;0;0;0;
1573049215081;Player;-0.81;0.9799999;-2.22;0;0;0;
1573049215081;Player;-0.81;0.9799999;-2.22;0;0;0;
1573049215512;Player;-0.81;0.9799999;-2.22;0;0;0;
1573049215512;Player;-0.81;0.9799999;-2.22;0;0;0;
1573049215534;Player;-0.81;0.9799999;-2.22;0;0;0;
1573049215534;Player;-0.81;0.9799999;-2.22;0;0;0;
1573049215551;Player;-0.81;0.9799999;-2.22;0;0;0;
1573049215551;Player;-0.81;0.9799999;-2.22;0;0;0;
1573049215568;Player;-0.81;0.9799999;-2.22;0;0;0;
1573049215568;Player;-0.81;0.9799999;-2.22;0;0;0;
1573049215584;Player;-0.81;0.9799999;-2.22;0;0;0;
1573049215585;Player;-0.81;0.9799999;-2.22;0;0;0;
1573049215601;Player;-0.81;0.9799999;-2.22;0;0;0;
1573049215601;Player;-0.81;0.9799999;-2.22;0;0;0;
1573049215618;Player;-0.81;0.9799999;-2.22;0;0;0;
1573049215618;Player;-0.81;0.9799999;-2.22;0;0;0;
1573049215636;Player;-0.81;0.9799999;-2.22;0;0;0;
1573049215636;Player;-0.81;0.9799999;-2.22;0;0;0;
1573049215652;Player;-0.81;0.9799999;-2.22;0;0;0;
1573049215652;Player;-0.81;0.9799999;-2.22;0;0;0;
1573049215669;Player;-0.81;0.9799999;-2.22;0;0;0;
1573049215669;Player;-0.81;0.9799999;-2.22;0;0;0;
1573049215686;Player;-0.81;0.9799999;-2.22;0;0;0;
1573049215686;Player;-0.81;0.9799999;-2.22;0;0;0;
1573049215702;Player;-0.81;0.9799999;-2.22;0;0;0;
1573049215702;Player;-0.81;0.9799999;-2.22;0;0;0;
1573049215720;Player;-0.81;0.9799999;-2.22;0;0;0;
1573049215720;Player;-0.81;0.9799999;-2.22;0;0;0;
1573049215737;Player;-0.81;0.9799999;-2.22;0;0;0;
